what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.xtext.gmf.glue,0.8.1.v201109161105,"org.eclipse.xtext.gmf.glue",1334833890871
os,sysinfo,,,"linux",1334833890879
arch,sysinfo,,,"x86",1334833890879
ws,sysinfo,,,"gtk",1334833890879
locale,sysinfo,,,"en_GB",1334833890879
processors,sysinfo,,,"4",1334833890879
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1334833890879
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1334833890880
java.specification.name,sysinfo,,,"Java Platform API Specification",1334833890880
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1334833890880
java.specification.version,sysinfo,,,"1.6",1334833890880
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1334833890880
java.version,sysinfo,,,"1.6.0_26",1334833890880
java.vm.info,sysinfo,,,"mixed mode, sharing",1334833890880
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1334833890880
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1334833890880
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1334833890880
java.vm.specification.version,sysinfo,,,"1.0",1334833890880
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1334833890880
java.vm.version,sysinfo,,,"20.1-b02",1334833890880
started,bundle,org.eclipse.gmf.runtime.diagram.ui.resources.editor,1.4.1.v20101119-2230,"org.eclipse.gmf.runtime.diagram.ui.resources.editor",1334833894459
started,bundle,org.eclipse.papyrus.core.adaptor.gmf,0.8.1.v201109161105,"org.eclipse.papyrus.core.adaptor.gmf",1334833894463
started,bundle,org.eclipse.papyrus.core.resourceloading,0.8.1.v201109161105,"org.eclipse.papyrus.core.resourceloading",1334833894477
started,bundle,org.eclipse.papyrus.sysml.table.allocation,0.8.1.v201109161105,"org.eclipse.papyrus.sysml.table.allocation",1334833894483
started,bundle,org.eclipse.papyrus.table.common,0.8.1.v201109161105,"org.eclipse.papyrus.table.common",1334833894491
started,bundle,org.eclipse.emf.facet.widgets.nattable.tableconfiguration,0.1.2.v201202140823,"org.eclipse.emf.facet.widgets.nattable.tableconfiguration",1334833894508
started,bundle,org.eclipse.emf.facet.infra.query.core,0.1.2.v201202140823,"org.eclipse.emf.facet.infra.query.core",1334833894530
started,bundle,org.eclipse.emf.facet.widgets.nattable.instance,0.1.2.v201202140823,"org.eclipse.emf.facet.widgets.nattable.instance",1334833894556
started,bundle,org.eclipse.papyrus.sysml.table.requirement,0.8.1.v201109161105,"org.eclipse.papyrus.sysml.table.requirement",1334833894561
